,ID,SeleccionID,StatusConfirmacion,Nivel,Reto,Seleccion,TipoDeUsuario
alcqdT8-3Lz3d40zAAAB,,,,,,False,user
AcUg2SoCPu_sHlHsAAAD,,,,,,False,user
It1nh8WpGdLiV70KAAAB,,,,,,False,user
pdryIO7LI4WNJZjpAAAD,,,,,,False,user
Yf4gRgsB-xqY6KQ_AAAB,,,,,,False,user
e8kW-1__q1A3K_ZlAAAD,,,,,,False,user
CYXDlbUCafaz2bBnAAAF,,,,,,False,user
r4bss7d5Z4gsMNZ3AAAB,,,,,,False,user
iJnGSKoz6MDc9O11AAAD,,,,,,False,user
1UMzzXmZ3wUAFma3AAAF,,,,,,False,user
wdz-8yY3nFplP7PdAAAB,,,,,,False,user
zz4ErEjgmJOCLNQ4AAAD,,,,,,False,user
TIvNBpfgIm8gA0H1AAAF,,,,,,False,user
1y8t5f9cwApkCnbiAAAB,,,,,,False,user
2qfozZUq15RqMX6rAAAD,,,,,,False,user
7x2AeGdMGeQXrsohAAAF,,,,,,False,user
zE2lbK6EkSxPzwQjAAAB,,,,,,False,user
5HJNAvjSfJ-OU4_NAAAH,,,,,,False,user
t2rwZuQF1JYRuJMMAAAJ,,,,,,False,user
lfgGzkz-_6TWtsORAAAB,,,,,,False,user
U-HIO9sztaRF8AjSAAAD,,,,,,False,user
giXpMIyaUEKZcKscAAAF,,,,,,False,user
VUbkqvJweHh5TI6vAAAD,,,,,,False,user
BayEkZ8Imx-4477MAAAH,,,,,,False,user
n12h4Wil6FHY9dCVAAAJ,,,,,,False,user
V71riDAWH52rKylMAAAB,,,,,,False,user
cIM-k_-Sl5QyZxkBAAAH,,,,,,False,user
pZfYNQJDKHHMOy0pAAAJ,,,,,,False,user
ms2p-NFhWrW-M0nWAAAF,,,,,,False,user
ELkaS7DCo7QtSjSmAAAL,,,,,,False,user
iRmzeRxtjGlNrLVxAAAN,,,,,,False,user
M2ptgnotty826aN7AAAC,,,,,,False,user
c2fDRy95PCfURLd8AAAD,,,,,,False,user
RoNL6TkHCSxS98A_AAAF,,,,,,False,user
5cVibhcRc0_SUsX1AAAB,,,,,,False,user
GS97_8vUdV72LXsVAAAD,,,,,,False,user
qMB7kn1D3q_RLaJXAAAF,,,,,,False,user
u1hmatqVLijnD3-_AAAB,,,,,,False,user
zr9F_b6mGYZ7SU-kAAAD,,,,,,False,user
nwy-XLEQM8ufv39qAAAF,,,,,,False,user
STz3IdFYjay8iQhFAAAD,,,,,,False,user
s7EY0R_RHXcphBVNAAAF,,,,,,False,user
XiK6AYGkGRBswFDrAAAB,,,,,,False,user
wl24DSi9lbOq64DKAAAD,,,,,,False,user
OiHXC6bBDR6VPZIEAAAF,,,,,,False,user
3_js8SErj53nIKvnAAAB,,,,,,False,user
AJydE1jCK7gmhKMiAAAD,,,,,,False,user
l5PdmQj2kdFL-PHrAAAF,,,,,,False,user
8bxkEqvMq9ss4QLvAAAH,,,,,,False,user
1V5X9JbVXCqjTIctAAAJ,,,,,,False,user
ZvRoPCBhSuy7qAhWAAAL,,,,,,False,user
XyGhZj_-mG2qOvaQAAAI,,,,,,False,user
ciaUnuo0KTMi_bhBAAAJ,,,,,,False,user
kiXF5_Ps9pV78H11AAAL,,,,,,False,user
w13Y9Rwq-q94gcbmAAAB,,,,,,False,user
OVgJQMSUoMTq_MQeAAAD,,,,,,False,user
2tXi3VZvt5ZMsPfAAAAD,,,,,,False,user
kxGet41B32QgP_nSAAAD,,,,,,False,user
IlBx5gP4kgaaKr7MAAAB,,,,,,False,user
OhRk26yEXUG1Q3bPAAAD,,,,,,False,user
_l2kMlmHN_nuMX7KAAAB,,,,,,False,user
SfRvV8ZgasnqY1NQAAAD,,,,,,False,user
d8NUfR4GeAoQV1fnAAAD,,,,,,False,user
XcD0rYgqaLmXfwlCAAAD,,,,,,False,user
Mf8y6UGHMiRnkJmXAAAF,,,,,,False,user
b5ONVGLDvFzmSBRVAAAD,,,,,,False,user
U817KVRRxaLkzS-PAAAD,,,,,,False,user
GiynyuZa6rZWPTsjAAAD,,,,,,False,user
v321M-C7C_wuPFG7AAAD,,,,,,False,user
R4ze2t0p_dFEg5LQAAAD,,,,,,False,user
j-k9d8MP-R427bGgAAAB,,,,,,False,user
6uOXYl8XUGQy2oe0AAAB,,,,,,False,user
Q3RkTMdt9t7uuvsnAAAB,,,,,,False,user
w3eurY7pDPTozFdTAAAB,,,,,,False,user
kbjLYUh-vnU6Zv0AAAAB,,,,,,False,user
6EqhmqnClU3457nQAAAD,,,,,,False,user
k9bHErw1BPYARGZJAAAD,,,,,,False,user
XpugdiumVV1bOJnrAAAB,,,,,,False,user
g12CDavoE5pfTpBwAAAD,,,,,,False,user
Bde9GXIV4IlLaQjYAAAD,,,,,,False,user
YHbGwkFrSdGdui4WAAAD,,,,,,False,user
jE3gQRqzQpIeORhPAAAB,,,,,,False,user
Uhx88eJEKdF92wK1AAAB,,,,,,False,user
k7HRQc1xULyJNJPqAAAB,,,,,,False,user
EVSfj2aiM-JgrEUCAAAD,,,,,,False,user
xmiJKahLTURsigskAAAB,,,,,,False,user
JYdC4N21tK23fK-KAAAB,,,,,,False,user
gL8A4lU8gQbgS9xOAAAB,,,,,,False,user
2kqVcSSPMY9PTmLmAAAB,,,,,,False,user
Ee0ahNrYfNL0lSnTAAAB,,,,,,False,user
aFJrllJTV7SX2x2CAAAB,,,,,,False,user
fqowdn8dlolP08q-AAAB,,,,,,False,user
OodPxgTrswaL_56EAAAD,,,,,,False,user
dyD_mTQIryyi0YKFAAAB,,,,,,False,user
JQ-e4YMqZlSlNZMMAAAB,,,,,,False,user
DzDXJTKpqDT_-y80AAAB,,,,,,False,user
cpuTICWQ6dKIK_1KAAAD,,,,,,False,user
DI31dbIou4ES4WbCAAAB,,,,,,False,user
t5X00fYvTegJX3-VAAAB,,,,,,False,user
ji8AWnKzepuGZp-yAAAB,,,,,,False,user
FtpX3qxl6XXGHwK6AAAB,,,,,,False,user
Ia2BBMX3i0QeBo6rAAAB,,,,,,False,user
Eqx4_ROjiX_FX-86AAAD,,,,,,False,user
bq3Ge-0MsYNDx91QAAAB,,,,,,False,user
R5AkQsLFEEOnhtSWAAAD,,,,,,False,user
HiImUCUR-MJNZEQEAAAD,,,,,,False,user
GeDBfwcGVY7fI9_0AAAB,,,,,,False,user
ZA2_WCqnDZlJye3XAAAB,,,,,,False,user
iCYIuSTDJYigEb5XAAAB,,,,,,False,user
NiXg1DCSY9BfHnCIAAAB,,,,,,False,user
obiFfvKzrSzQHu_aAAAD,,,,,,False,user
VEJ_90TePtgV88uaAAAD,,,,,,False,user
Ls4F4kHmNEDspKDcAAAB,,,,,,False,user
TYswENReN_MbFnaZAAAB,,,,,,False,user
MVxWhyUaKE2x2efQAAAB,,,,,,False,user
kHsyOkbLFegI2Pk-AAAB,,,,,,False,user
loHoMSq7ux4S8JXBAAAB,,,,,,False,user
ML7sL3yCXGPLBzkSAAAB,,,,,,False,user
SmHR8BMfOgXtwQNhAAAB,,,,,,False,user
hxf0kVSy0G4s7MpwAAAB,,,,,,False,user
